customer_id,age,gender,income,region,purchase_amount,calculated_clv,clv_tier
8466,62,Male,92968.74,"Region VII",4719.33,84947.94,Platinum
8512,62,Female,83593.54,"Region XII",4715.07,84871.26,Platinum
3849,56,Other,83719.11,"Region XII",4713.54,84843.72,Platinum
5251,78,Other,75758.89,"Region V",4707.95,84743.10,Platinum
1883,60,Female,72795.20,"Region XI",4698.86,84579.48,Platinum
6693,74,Female,96299.56,"Region I",4694.63,84503.34,Platinum
2389,78,Female,94742.43,BARMM,4693.78,84488.04,Platinum
5637,71,Male,89491.35,CAR,4693.55,84483.90,Platinum
4631,78,Female,99069.96,"Region XI",4690.93,84436.74,Platinum
7961,63,Other,74412.51,"Region II",4689.17,84405.06,Platinum
9148,67,Other,96407.79,"Region I",4686.14,84350.52,Platinum
7222,61,Female,82926.61,"Region III",4682.95,84293.10,Platinum
2994,72,Female,90260.56,"Region XIII",4680.71,84252.78,Platinum
6259,54,Male,82738.30,CAR,4679.58,84232.44,Platinum
9867,54,Other,91711.38,"Region X",4673.81,84128.58,Platinum
3475,64,Other,89307.09,"Region XIII",4672.73,84109.14,Platinum
6333,52,Male,76082.10,"Region V",4669.21,84045.78,Platinum
4138,77,Male,84286.68,"Region IX",4667.15,84008.70,Platinum
5180,63,Male,98458.43,"Region I",4665.70,83982.60,Platinum
5867,62,Female,78514.80,NCR,4664.13,83954.34,Platinum
5654,56,Female,78889.43,"Region III",4663.12,83936.16,Platinum
9525,69,Other,97733.19,"Region XI",4660.67,83892.06,Platinum
6001,72,Male,71588.97,"Region II",4658.28,83849.04,Platinum
7059,62,Female,92619.32,"Region X",4654.80,83786.40,Platinum
2548,57,Female,93847.90,"Region VII",4654.40,83779.20,Platinum
9810,66,Other,95561.82,"Region I",4654.16,83774.88,Platinum
1649,72,Male,71715.44,"Region II",4651.12,83720.16,Platinum
9420,63,Female,93770.00,"Region X",4648.81,83678.58,Platinum
5320,58,Male,94886.44,"Region I",4646.49,83636.82,Platinum
2797,55,Male,73715.83,"Region VIII",4644.65,83603.70,Platinum
3496,72,Other,75844.81,"Region VIII",4644.54,83601.72,Platinum
7810,75,Other,82879.77,"Region III",4644.44,83599.92,Platinum
8679,53,Female,95872.83,"Region I",4642.07,83557.26,Platinum
1116,56,Female,98239.67,"Region XI",4639.54,83511.72,Platinum
6469,78,Female,75459.83,"Region VIII",4635.84,83445.12,Platinum
7970,53,Male,76764.00,"Region XII",4635.37,83436.66,Platinum
1949,58,Male,71052.04,BARMM,4634.61,83422.98,Platinum
755,57,Other,74976.45,"Region V",4629.28,83327.04,Platinum
430,50,Other,84470.38,CAR,4627.66,83297.88,Platinum
926,51,Male,94550.75,"Region X",4625.89,83266.02,Platinum
9772,66,Female,95365.13,"Region IV-A",4622.01,83196.18,Platinum
905,58,Female,75739.62,NCR,4620.77,83173.86,Platinum
7220,63,Other,74358.79,"Region II",4618.08,83125.44,Platinum
3699,78,Female,94609.54,BARMM,4617.31,83111.58,Platinum
9833,50,Other,89458.38,"Region IV-A",4616.80,83102.40,Platinum
3542,62,Male,83203.62,"Region VI",4611.50,83007.00,Platinum
2118,64,Other,99018.27,"Region IV-B",4610.56,82990.08,Platinum
6477,58,Female,76054.28,"Region VIII",4608.97,82961.46,Platinum
9816,75,Other,87694.39,CAR,4607.08,82927.44,Platinum
4829,54,Male,72712.27,"Region II",4603.81,82868.58,Platinum
793,58,Male,80737.16,"Region V",4602.54,82845.72,Platinum
5739,61,Female,87208.31,CAR,4600.19,82803.42,Platinum
2505,53,Other,77273.49,"Region VIII",4598.39,82771.02,Platinum
1518,70,Female,84347.19,"Region IX",4596.36,82734.48,Platinum
6972,61,Female,82926.38,"Region XII",4595.95,82727.10,Platinum
6353,78,Male,89662.59,"Region XIII",4593.35,82680.30,Platinum
5841,59,Male,95512.13,"Region I",4588.81,82598.58,Platinum
3243,55,Other,73895.81,"Region XI",4585.45,82538.10,Platinum
6637,61,Male,77934.83,"Region II",4584.14,82514.52,Platinum
4088,75,Other,97424.75,"Region VII",4583.40,82501.20,Platinum
9797,71,Other,84943.99,"Region VI",4582.86,82491.48,Platinum
8047,76,Other,88336.83,"Region VI",4578.81,82418.58,Platinum
1368,65,Female,94823.21,"Region X",4578.28,82409.04,Platinum
9639,77,Male,93814.64,"Region I",4576.26,82372.68,Platinum
9541,74,Other,77695.80,NCR,4576.18,82371.24,Platinum
3612,75,Other,78175.54,NCR,4575.31,82355.58,Platinum
2219,70,Male,79511.78,NCR,4572.76,82309.68,Platinum
8262,77,Other,70185.24,"Region VII",4558.67,82056.06,Platinum
4380,53,Male,76961.65,"Region XII",4558.28,82049.04,Platinum
8558,57,Female,89155.61,"Region X",4553.53,81963.54,Platinum
2242,65,Other,89973.18,"Region XIII",4551.79,81932.22,Platinum
3831,76,Other,74384.61,"Region IV-B",4549.46,81890.28,Platinum
7657,53,Other,81497.06,"Region III",4547.85,81861.30,Platinum
2841,52,Male,90333.82,CAR,4545.31,81815.58,Platinum
5884,70,Female,84129.41,"Region IX",4542.25,81760.50,Platinum
1119,53,Female,95755.91,"Region X",4542.24,81760.32,Platinum
3473,73,Other,71671.96,"Region XI",4540.05,81720.90,Platinum
2645,57,Other,79655.00,NCR,4539.82,81716.76,Platinum
4072,70,Other,88723.55,"Region IX",4539.48,81710.64,Platinum
6676,54,Male,77938.36,"Region XII",4534.71,81624.78,Platinum
422,72,Male,81059.65,"Region IX",4532.31,81581.58,Platinum
9528,67,Other,96080.90,"Region X",4522.84,81411.12,Platinum
7265,73,Female,91049.65,"Region XIII",4517.60,81316.80,Platinum
5866,72,Male,75980.62,"Region XI",4513.58,81244.44,Platinum
7389,65,Male,80237.72,"Region XII",4512.89,81232.02,Platinum
4635,78,Male,94448.12,"Region I",4509.23,81166.14,Platinum
6158,59,Male,90555.79,"Region XIII",4507.90,81142.20,Platinum
9901,78,Female,89871.93,"Region X",4507.31,81131.58,Platinum
2286,71,Male,74953.69,"Region XI",4503.28,81059.04,Platinum
7123,54,Male,82143.05,NCR,4500.63,81011.34,Platinum
301,55,Female,78471.80,"Region II",4500.11,81001.98,Platinum
840,68,Male,82785.52,"Region III",4497.07,80947.26,Platinum
6365,60,Other,96206.41,"Region IV-A",4495.35,80916.30,Platinum
7761,68,Male,87205.58,"Region VI",4488.15,80786.70,Platinum
8727,69,Other,97767.92,"Region I",4487.43,80773.74,Platinum
7656,62,Other,78355.63,"Region V",4485.83,80744.94,Platinum
8869,68,Other,77848.00,"Region II",4484.93,80728.74,Platinum
1034,66,Male,76777.69,NCR,4481.76,80671.68,Platinum
9617,71,Other,75470.46,NCR,4479.26,80626.68,Platinum
4777,62,Other,73689.29,"Region VIII",4478.62,80615.16,Platinum
2154,55,Other,96919.02,"Region VII",4477.72,80598.96,Platinum
5347,65,Female,85037.16,"Region III",4475.43,80557.74,Platinum
5903,62,Other,92662.49,"Region I",4470.07,80461.26,Platinum
5640,67,Male,91124.49,"Region IV-A",4468.43,80431.74,Platinum
1644,77,Other,88873.54,CAR,4462.35,80322.30,Platinum
4592,58,Male,71114.65,BARMM,4460.86,80295.48,Platinum
5779,68,Other,96779.52,"Region X",4457.40,80233.20,Platinum
1719,66,Female,71460.54,"Region II",4452.36,80142.48,Platinum
3069,67,Other,91683.27,"Region VI",4449.71,80094.78,Platinum
8261,74,Female,86699.27,"Region IX",4445.80,80024.40,Platinum
463,58,Female,94908.80,BARMM,4443.44,79981.92,Platinum
8027,67,Female,76918.99,"Region V",4439.73,79915.14,Platinum
2754,60,Female,95695.72,BARMM,4439.54,79911.72,Platinum
8320,57,Female,79505.76,"Region III",4438.43,79891.74,Platinum
8613,51,Male,89532.59,CAR,4436.59,79858.62,Platinum
6491,60,Female,81850.03,"Region XII",4436.17,79851.06,Platinum
9851,56,Male,97758.61,"Region IV-B",4433.55,79803.90,Platinum
8656,67,Other,72266.11,BARMM,4423.65,79625.70,Platinum
215,72,Female,85136.27,"Region IX",4420.67,79572.06,Platinum
817,78,Other,94166.92,"Region IV-A",4419.31,79547.58,Platinum
4870,64,Other,84323.66,"Region IX",4412.89,79432.02,Platinum
5770,68,Female,77794.87,"Region V",4411.17,79401.06,Platinum
3329,67,Male,72487.29,"Region XI",4410.61,79390.98,Platinum
8383,70,Male,88791.12,CAR,4410.56,79390.08,Platinum
5609,74,Female,86766.92,"Region IX",4409.86,79377.48,Platinum
5776,51,Other,75462.32,NCR,4406.54,79317.72,Platinum
2063,63,Female,74425.16,"Region IV-B",4403.17,79257.06,Platinum
329,77,Female,98664.33,"Region I",4401.95,79235.10,Platinum
7723,51,Male,89655.49,"Region VI",4399.06,79183.08,Platinum
4498,54,Other,91951.09,"Region IV-A",4397.93,79162.74,Platinum
9320,71,Male,94388.79,"Region X",4396.87,79143.66,Platinum
4457,73,Other,76649.99,"Region VIII",4395.34,79116.12,Platinum
4470,68,Male,91930.61,"Region X",4394.77,79105.86,Platinum
5871,54,Female,77765.32,"Region II",4394.64,79103.52,Platinum
4144,55,Female,73180.96,BARMM,4393.84,79089.12,Platinum
6409,53,Other,86102.78,CAR,4388.68,78996.24,Platinum
3520,75,Male,73493.28,"Region II",4386.39,78955.02,Platinum
3955,52,Female,99591.96,"Region IV-B",4385.42,78937.56,Platinum
8751,75,Male,92114.97,"Region I",4382.84,78891.12,Platinum
4045,60,Other,95628.63,"Region IV-A",4376.57,78778.26,Platinum
3850,76,Female,78536.75,"Region II",4376.51,78777.18,Platinum
8274,77,Other,79495.31,NCR,4375.49,78758.82,Platinum
4043,58,Other,94828.95,"Region IV-A",4374.85,78747.30,Platinum
929,74,Other,96454.57,"Region VII",4374.79,78746.22,Platinum
9072,57,Male,84454.93,"Region IX",4364.13,78554.34,Platinum
6644,76,Female,92994.40,"Region VI",4360.12,78482.16,Platinum
9271,63,Other,93054.67,"Region I",4359.67,78474.06,Platinum
7264,76,Female,92622.02,"Region VI",4354.53,78381.54,Platinum
1334,70,Male,84022.31,"Region XII",4350.45,78308.10,Platinum
255,59,Other,90743.81,CAR,4349.04,78282.72,Platinum
524,68,Female,72960.60,"Region VIII",4346.32,78233.76,Platinum
4733,75,Male,73242.10,"Region VIII",4343.72,78186.96,Platinum
1486,77,Female,97992.39,"Region X",4342.50,78165.00,Platinum
6070,65,Male,85421.15,"Region VI",4340.34,78126.12,Platinum
458,57,Male,79762.21,"Region V",4339.50,78111.00,Platinum
4285,72,Male,71394.27,"Region VII",4332.41,77983.38,Platinum
2590,53,Female,86541.52,"Region IX",4328.99,77921.82,Platinum
1467,69,Male,97282.93,"Region VII",4324.36,77838.48,Platinum
2474,67,Male,81516.33,"Region XII",4318.43,77731.74,Platinum
5405,50,Female,74852.10,"Region II",4316.81,77702.58,Platinum
8622,76,Male,74191.50,"Region VIII",4314.67,77664.06,Platinum
2804,54,Male,96028.55,"Region IV-A",4314.29,77657.22,Platinum
8644,78,Other,99131.36,BARMM,4311.87,77613.66,Platinum
5618,50,Male,70211.49,"Region I",4303.74,77467.32,Platinum
2652,70,Other,98224.36,"Region X",4298.91,77380.38,Platinum
91,68,Male,72661.29,"Region IV-B",4298.19,77367.42,Platinum
633,61,Male,96300.10,"Region X",4291.04,77238.72,Platinum
3297,73,Other,81319.87,"Region III",4290.90,77236.20,Platinum
7493,71,Male,75411.53,"Region XI",4290.15,77222.70,Platinum
6885,56,Other,93050.60,"Region IV-A",4287.33,77171.94,Platinum
5205,66,Other,90553.63,"Region XIII",4282.73,77089.14,Platinum
2388,53,Male,71603.79,"Region II",4279.40,77029.20,Platinum
1907,72,Other,80201.09,"Region XII",4276.57,76978.26,Platinum
3511,52,Female,99726.21,"Region IV-B",4274.04,76932.72,Platinum
9905,74,Other,72510.04,"Region IV-B",4273.66,76925.88,Platinum
9013,78,Male,98753.09,"Region IV-B",4270.19,76863.42,Platinum
9938,59,Female,85783.87,"Region VI",4268.82,76838.76,Platinum
9021,57,Female,88899.28,"Region IX",4261.21,76701.78,Platinum
5014,72,Other,89624.37,"Region IX",4259.96,76679.28,Platinum
1478,73,Male,95295.15,"Region IV-A",4257.47,76634.46,Platinum
7507,61,Female,77529.99,"Region VIII",4255.61,76600.98,Platinum
3860,56,Other,74227.34,"Region XI",4255.58,76600.44,Platinum
441,71,Male,84480.84,"Region XII",4246.99,76445.82,Platinum
1452,69,Other,97284.40,"Region I",4246.26,76432.68,Platinum
6177,57,Male,74374.64,"Region II",4245.53,76419.54,Platinum
6778,58,Female,80014.99,"Region XII",4236.89,76264.02,Platinum
8156,59,Other,85513.02,"Region XII",4236.66,76259.88,Platinum
1825,76,Other,92868.27,"Region IV-A",4236.29,76253.22,Platinum
3403,58,Female,70740.63,"Region IV-B",4233.07,76195.26,Platinum
9464,63,Other,83782.68,"Region IX",4228.65,76115.70,Platinum
2549,68,Female,82229.36,NCR,4218.95,75941.10,Platinum
3695,58,Other,70484.34,"Region I",4217.08,75907.44,Platinum
6634,63,Female,97649.75,"Region VII",4212.92,75832.56,Platinum
1687,53,Other,72167.18,"Region XI",4209.24,75766.32,Platinum
2060,75,Male,96936.85,"Region IV-A",4197.97,75563.46,Platinum
6722,74,Other,86806.78,"Region VI",4197.14,75548.52,Platinum
9170,50,Female,93252.57,"Region I",4195.93,75526.74,Platinum
8911,52,Male,95185.09,"Region IV-A",4195.55,75519.90,Platinum
6362,55,Other,87591.42,"Region VI",4194.07,75493.26,Platinum
8238,73,Other,90872.87,"Region IV-A",4193.01,75474.18,Platinum
9135,73,Other,71928.52,"Region IV-B",4192.88,75471.84,Platinum
7956,74,Other,91318.99,"Region IV-A",4187.37,75372.66,Platinum
2470,75,Female,91853.25,"Region VI",4186.01,75348.18,Platinum
1658,57,Other,98213.59,BARMM,4184.04,75312.72,Platinum
8499,73,Female,95607.12,"Region X",4177.40,75193.20,Platinum
6,58,Other,84960.88,"Region III",4177.01,75186.18,Platinum
1469,60,Female,76538.08,NCR,4176.79,75182.22,Platinum
1228,76,Other,73375.24,"Region XI",4173.92,75130.56,Platinum
6293,71,Female,89105.44,"Region XIII",4169.55,75051.90,Platinum
3160,76,Female,83046.36,"Region V",4169.26,75046.68,Platinum
5624,72,Male,84906.31,"Region XII",4168.51,75033.18,Platinum
5150,61,Female,91854.89,"Region IV-A",4165.78,74984.04,Platinum
4740,70,Female,97858.01,"Region IV-A",4165.66,74981.88,Platinum
3324,77,Female,88914.66,"Region III",4165.33,74975.94,Platinum
4010,51,Other,79719.56,"Region II",4164.18,74955.24,Platinum
837,63,Male,88378.53,"Region IX",4161.08,74899.44,Platinum
8588,65,Male,99103.32,"Region X",4160.31,74885.58,Platinum
3840,55,Female,87666.66,"Region IX",4159.74,74875.32,Platinum
7097,63,Male,88274.22,"Region III",4159.26,74866.68,Platinum
7890,64,Female,84185.09,"Region XII",4158.98,74861.64,Platinum
2185,57,Other,84272.65,"Region XII",4157.43,74833.74,Platinum
5446,57,Other,88979.16,"Region VI",4149.71,74694.78,Platinum
7719,65,Female,99335.54,"Region VII",4149.49,74690.82,Platinum
1961,73,Male,76289.93,"Region XI",4148.38,74670.84,Platinum
8277,57,Female,98245.18,"Region I",4138.11,74485.98,Platinum
6992,59,Female,75784.87,"Region VIII",4136.28,74453.04,Platinum
5092,56,Female,83035.60,NCR,4127.37,74292.66,Platinum
7390,69,Female,73344.30,"Region II",4126.32,74273.76,Platinum
4667,52,Female,94680.71,"Region I",4122.71,74208.78,Platinum
749,78,Other,84780.11,"Region III",4122.36,74202.48,Platinum
4332,50,Male,83944.93,"Region XII",4119.77,74155.86,Platinum
3429,64,Male,84286.14,NCR,4108.58,73954.44,Platinum
7193,73,Male,95526.86,"Region IV-A",4108.55,73953.90,Platinum
6257,56,Female,92964.92,"Region VI",4104.18,73875.24,Platinum
4783,75,Male,96274.13,"Region IV-A",4099.04,73782.72,Platinum
393,65,Female,89804.10,"Region VI",4098.31,73769.58,Platinum
9501,52,Female,85498.14,"Region IX",4095.67,73722.06,Platinum
491,50,Other,93665.14,"Region XIII",4093.48,73682.64,Platinum
5552,73,Other,99655.50,"Region X",4089.20,73605.60,Platinum
5235,55,Other,96708.86,"Region XIII",4082.25,73480.50,Platinum
999,54,Male,86727.15,"Region XII",4080.98,73457.64,Platinum
4127,59,Female,90470.12,"Region IV-A",4079.15,73424.70,Platinum
6016,58,Other,94497.59,"Region IV-A",4078.09,73405.62,Platinum
648,53,Female,85802.24,"Region IX",4066.51,73197.18,Platinum
7817,55,Other,96811.61,"Region VII",4063.89,73150.02,Platinum
2094,54,Female,72452.93,BARMM,4063.14,73136.52,Platinum
8056,55,Male,77523.34,"Region XI",4061.55,73107.90,Platinum
234,66,Male,76225.56,"Region VIII",4050.51,72909.18,Platinum
3638,57,Other,98222.48,BARMM,4046.09,72829.62,Platinum
4236,77,Female,79144.69,"Region XI",4044.03,72792.54,Platinum
9270,69,Other,83044.23,NCR,4036.25,72652.50,Platinum
1027,54,Female,96095.22,"Region I",4034.81,72626.58,Platinum
8127,64,Other,70125.52,"Region IV-B",4034.61,72622.98,Platinum
407,66,Male,80517.26,"Region XII",4020.70,72372.60,Platinum
4689,61,Female,77131.81,NCR,4020.41,72367.38,Platinum
208,59,Other,99695.73,"Region VII",4019.59,72352.62,Platinum
2439,68,Other,81983.22,"Region V",4018.42,72331.56,Platinum
5100,53,Female,76225.17,"Region II",4016.74,72301.32,Platinum
4356,68,Female,72895.90,"Region I",4015.34,72276.12,Platinum
7396,58,Female,98818.75,"Region I",4010.78,72194.04,Platinum
7558,66,Other,62779.87,BARMM,4996.10,69945.40,Platinum
3116,57,Male,61450.48,"Region VII",4987.05,69818.70,Platinum
5857,69,Female,64738.68,"Region X",4985.79,69801.06,Platinum
860,73,Female,63095.72,"Region VII",4973.16,69624.24,Platinum
2320,65,Female,62279.95,"Region X",4958.21,69414.94,Platinum
9243,69,Other,64598.76,"Region VII",4954.82,69367.48,Platinum
6316,69,Female,60408.08,"Region XIII",4950.92,69312.88,Platinum
5387,61,Female,63773.36,"Region IV-B",4943.97,69215.58,Platinum
8040,74,Male,68469.15,"Region IV-B",4926.61,68972.54,Platinum
3558,58,Other,66932.98,BARMM,4926.22,68967.08,Platinum
3806,76,Male,60465.60,"Region VII",4917.33,68842.62,Platinum
1940,68,Female,64217.34,"Region X",4915.26,68813.64,Platinum
4885,61,Other,68508.68,BARMM,4914.00,68796.00,Platinum
1535,57,Other,60948.27,"Region X",4912.44,68774.16,Platinum
5827,50,Male,65836.52,BARMM,4908.77,68722.78,Platinum
6478,56,Other,69834.18,"Region VIII",4904.19,68658.66,Platinum
490,50,Female,65900.02,"Region I",4886.48,68410.72,Platinum
7229,64,Male,66266.98,"Region VII",4878.97,68305.58,Platinum
1584,55,Female,69090.87,"Region XI",4861.86,68066.04,Platinum
7595,54,Female,68390.80,"Region XI",4852.97,67941.58,Platinum
713,69,Other,64447.46,"Region VII",4847.14,67859.96,Platinum
9235,60,Other,63002.70,"Region I",4846.22,67847.08,Platinum
6320,62,Male,60048.21,"Region IV-A",4839.39,67751.46,Platinum
5966,60,Other,67633.83,BARMM,4821.45,67500.30,Platinum
2452,64,Female,61056.62,"Region X",4819.43,67472.02,Platinum
5213,49,Other,98053.21,"Region II",4995.29,67436.42,Platinum
7958,30,Female,70931.25,NCR,4994.92,67431.42,Platinum
535,36,Other,74814.46,"Region V",4994.42,67424.67,Platinum
6082,19,Female,82197.83,"Region XII",4994.22,67421.97,Platinum
7808,61,Male,68478.79,"Region XI",4815.75,67420.50,Platinum
2327,38,Other,76238.84,"Region XII",4991.99,67391.87,Platinum
7077,44,Other,89905.16,"Region XIII",4990.76,67375.26,Platinum
854,46,Male,91827.35,"Region IV-A",4987.69,67333.82,Platinum
6794,23,Female,84949.19,"Region XIII",4983.88,67282.38,Platinum
296,19,Other,91517.92,"Region VII",4983.23,67273.61,Platinum
6968,76,Male,60462.11,"Region VI",4804.44,67262.16,Platinum
4919,45,Other,85715.24,"Region IX",4982.16,67259.16,Platinum
2997,70,Male,60490.29,"Region I",4802.96,67241.44,Platinum
6017,34,Female,92231.29,"Region VII",4980.45,67236.08,Platinum
1204,46,Female,91644.52,"Region I",4979.39,67221.77,Platinum
4711,46,Female,76942.21,"Region V",4978.79,67213.67,Platinum
6046,26,Female,96175.55,"Region IV-B",4978.24,67206.24,Platinum
1842,35,Male,88291.17,"Region XIII",4976.07,67176.95,Platinum
1211,43,Male,80218.15,"Region III",4966.37,67046.00,Platinum
8708,75,Female,64292.34,"Region VII",4787.44,67024.16,Platinum
7848,33,Female,72626.52,NCR,4964.20,67016.70,Platinum
5696,48,Other,74060.85,NCR,4962.94,66999.69,Platinum
1274,77,Female,65570.11,"Region VII",4785.15,66992.10,Platinum
3424,21,Female,92796.68,"Region X",4957.58,66927.33,Platinum
6775,27,Male,92041.90,"Region IV-A",4956.30,66910.05,Platinum
1565,57,Other,60738.34,"Region X",4772.92,66820.88,Platinum
5056,24,Female,80608.91,"Region IX",4944.39,66749.27,Platinum
2782,19,Other,91680.66,"Region I",4944.35,66748.73,Platinum
8422,24,Male,75724.34,"Region VIII",4943.85,66741.98,Platinum
622,34,Male,92608.83,"Region I",4935.64,66631.14,Platinum
6687,45,Male,71568.27,"Region XI",4932.88,66593.88,Platinum
2907,56,Female,60582.55,"Region IV-A",4755.30,66574.20,Platinum
